Time,Sender_account,Receiver_account,Amount,Is_laundering,Laundering_type,Days_Since_Start,Year,Month,Day,Payment_type_Cash Deposit,Payment_type_Cash Withdrawal,Payment_type_Cheque,Payment_type_Credit card,Payment_type_Cross-border,Payment_type_Debit card,Sender_Info,Receiver_Info
66320,1104543484,6158387752,5758.59,1,Fan_In,200,2023,4,25,False,False,False,True,False,False,France - US dollar,India - Dirham
54766,3366160080,3546293157,8160.18,1,Structuring,3,2022,10,10,False,False,False,False,True,False,Albania - Mexican Peso,India - Dirham
70511,3723283502,1642960898,8855.221194478081,1,Layered_Fan_Out,302,2023,8,5,False,False,False,False,False,False,France - US dollar,India - Dirham
29464,2698296913,9311138020,3687.76,1,Smurfing,157,2023,3,13,True,False,False,False,False,False,France - US dollar,India - Dirham
83261,8470477504,1292362120,5055.72,1,Gather-Scatter,73,2022,12,19,False,False,True,False,False,False,France - Indian rupee,Germany - Naira
22427,9481741805,6844529387,6329.95,1,Structuring,217,2023,5,12,False,False,False,False,False,True,France - Indian rupee,India - Dirham
77174,1894433279,9836555960,4373.077958690815,1,Layered_Fan_Out,307,2023,8,10,False,False,False,False,False,False,France - US dollar,Germany - Moroccan dirham
52615,8535122087,7383065557,1403.87,1,Behavioural_Change_2,288,2023,7,22,False,False,False,False,True,False,France - US dollar,France - Pakistani rupee
74608,2864879256,547534393,259.21,1,Cash_Withdrawal,69,2022,12,15,False,True,False,False,False,False,France - US dollar,India - Dirham
32305,5869654043,8779905731,3901.27,1,Stacked Bipartite,18,2022,10,25,False,False,False,False,False,True,France - US dollar,India - Dirham
84783,3001111475,1493546122,23811.36,1,Stacked Bipartite,195,2023,4,20,False,False,True,False,False,False,France - US dollar,India - Dirham
77478,1113449726,7350571765,8625.93,1,Structuring,106,2023,1,21,False,False,False,True,False,False,France - US dollar,India - Dirham
7448,7778102286,4344244332,4890.42,1,Structuring,123,2023,2,7,False,False,True,False,False,False,France - US dollar,India - Dirham
39421,4475887406,5591809782,2839.61,1,Smurfing,129,2023,2,13,True,False,False,False,False,False,France - US dollar,India - Dirham
7836,663371504,7951108994,2188.68,1,Structuring,225,2023,5,20,False,False,True,False,False,False,France - US dollar,India - Dirham
55601,8121769763,6855318209,5207.33,1,Layered_Fan_In,140,2023,2,24,False,False,False,False,False,False,France - US dollar,India - Dirham
66589,7489562319,7350571765,8678.69,1,Structuring,104,2023,1,19,False,False,False,True,False,False,France - US dollar,India - Dirham
60952,9268139431,9259814241,47.84,1,Cash_Withdrawal,72,2022,12,18,False,True,False,False,False,False,France - US dollar,Albania - UK pounds
36740,2032269181,4129129092,7834.91,1,Bipartite,211,2023,5,6,False,False,False,True,False,False,France - US dollar,India - Dirham
32072,7092971860,6572859969,4400.04,1,Behavioural_Change_2,111,2023,1,26,False,False,False,False,True,False,France - US dollar,Albania - Mexican Peso
